trip_date,trip_origin,trip_destination,start_odometer,end_odometer,total_km,ab_km,bc_km,mb_km,on_km,sk_km,ab_fuel,bc_fuel,mb_fuel,on_fuel,sk_fuel,matching_invoice_number,invoice_date,invoice_time,invoice_location,total_cost,source_log,total_fuel_litres,fuel_source,fuel_source_reliability,km_per_tank,avg_fuel_per_tank,fuel_litres_per_km,cycle_fuel_per_km,fuel_cost_per_km,provincial_sum_km,km_reconciliation_gap,odometer_gap,cross_border_trip,ab_dist_prop,ab_fuel_prop,ab_dist_fuel_variance,bc_dist_prop,bc_fuel_prop,bc_dist_fuel_variance,mb_dist_prop,mb_fuel_prop,mb_dist_fuel_variance,on_dist_prop,on_fuel_prop,on_dist_fuel_variance,sk_dist_prop,sk_fuel_prop,sk_dist_fuel_variance,weekly_avg_distance_km,weekly_avg_fuel_litres,monthly_avg_distance_km,monthly_avg_fuel_litres,dist_to_weekly_ratio,fuel_to_weekly_ratio,dist_to_monthly_ratio,fuel_to_monthly_ratio,forest_prediction,anomaly_score,anomaly_source,Route Context
2022-02-24,Nisku to Chetwynd ,"Prince George, BC ",728650.0,729750.0,1100.0,650.0,450.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,440.0,provincial_log,2,850.0,390.0,0.4,0.4588235294117647,0.0,1100.0,0.0,0.0,1.0,0.5909090909090909,1.0,-0.40909090909090906,0.4090909090909091,0.0,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,577.0,789.1666666666666,612.1944444444445,1.3189448441247003,0.7625649913344887,1.3938753959873285,0.7187258950043105,1,-0.4598287634406578,Isolation Forest,"Nisku to Chetwynd  ➔ Prince George, BC "
2022-02-28,nisku to grande prairie ,"Nisku, AB ",730600.0,731600.0,1000.0,1000.0,0.0,0.0,0.0,0.0,530.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,530.0,provincial_log,2,1710.0,615.0,0.53,0.35964912280701755,0.0,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,548.0,827.9411764705883,585.1176470588235,0.9803921568627451,0.9671532846715328,1.2078152753108347,0.9058007439428973,1,-0.41467736102020486,Isolation Forest,"nisku to grande prairie  ➔ Nisku, AB "
2022-03-01,"Grande Prairie, AB ","Nisku, AB ",703370.0,704000.0,630.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,615.0,provincial_log_nearby,1,1710.0,615.0,0.9761904761904762,0.35964912280701755,0.0,630.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.0,544.0,837.5,582.0555555555555,0.5943396226415094,1.130514705882353,0.7522388059701492,1.056600171804906,1,-0.48294722389893335,Isolation Forest,"Grande Prairie, AB  ➔ Nisku, AB "
2022-03-14,nisku to grande prairie ,"Nisku, AB ",740600.0,741650.0,1050.0,1050.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,650.0,provincial_log,2,1050.0,700.0,0.6190476190476191,0.6666666666666666,0.0,1050.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,584.8,1.0,1.0,1.1904761904761905,1.1114911080711356,1,-0.47417651876755024,Isolation Forest,"nisku to grande prairie  ➔ Nisku, AB "
2022-03-15,Nisku to Clairmont ,"Nisku, AB ",741650.0,742700.0,1050.0,1050.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,750.0,provincial_log,2,880.0,675.0,0.7142857142857143,0.7670454545454546,0.0,1050.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,650.0,892.5,588.875,1.0,1.1538461538461537,1.1764705882352942,1.2736149437486732,1,-0.4325668568123936,Isolation Forest,"Nisku to Clairmont  ➔ Nisku, AB "
2022-03-16,Nisku to Hinton ,Red Deer to Nisku ,742700.0,743580.0,880.0,880.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,600.0,provincial_log,2,770.0,465.0,0.6818181818181818,0.6038961038961039,0.0,880.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,700.0,883.125,598.375,0.8380952380952381,0.8571428571428571,0.9964614295824487,1.0027156883225403,1,-0.4250707546782207,Isolation Forest,Nisku to Hinton  ➔ Red Deer to Nisku 
2022-03-17,"Nisku, AB ","Prince George, BC ",743580.0,744350.0,770.0,420.0,350.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,330.0,provincial_log,2,950.0,440.0,0.42857142857142855,0.4631578947368421,0.0,770.0,0.0,0.0,1.0,0.5454545454545454,1.0,-0.4545454545454546,0.45454545454545453,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.3333333333334,666.6666666666666,872.5,595.5,0.7751677852348993,0.49500000000000005,0.8825214899713467,0.5541561712846348,1,-0.4903848243886202,Isolation Forest,"Nisku, AB  ➔ Prince George, BC "
2022-03-18,"Prince George, BC ","Nisku, AB ",744350.0,745300.0,950.0,600.0,350.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,550.0,provincial_log,2,1150.0,450.0,0.5789473684210527,0.391304347826087,0.0,950.0,0.0,0.0,1.0,0.631578947368421,1.0,-0.368421052631579,0.3684210526315789,0.0,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.5,582.5,870.625,573.625,1.0133333333333334,0.944206008583691,1.0911701363962671,0.9588145565482676,1,-0.41524555447850103,Isolation Forest,"Prince George, BC  ➔ Nisku, AB "
2022-03-21,Nisku to Hinton ,Calgary to Nisku ,745300.0,746450.0,1150.0,1150.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,350.0,provincial_log,2,1100.0,425.0,0.30434782608695654,0.38636363636363635,0.0,1150.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.0,576.0,929.2857142857143,582.3571428571429,1.2234042553191489,0.6076388888888888,1.2375096079938508,0.601005764749172,1,-0.4971887227910293,Isolation Forest,Nisku to Hinton  ➔ Calgary to Nisku 
2022-03-22,Nisku to Clairmont ,Acheson to Clairmont ,746450.0,747550.0,1100.0,1100.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,500.0,provincial_log,2,1100.0,500.0,0.45454545454545453,0.45454545454545453,0.0,1100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,516.0,944.0,566.8666666666667,1.1458333333333333,0.9689922480620154,1.1652542372881356,0.8820416323650476,1,-0.4000954624126998,Isolation Forest,Nisku to Clairmont  ➔ Acheson to Clairmont 
2022-03-23,Clairmont to Edm. ,Edm. to Clairmont ,747550.0,748650.0,1100.0,1100.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,500.0,provincial_log,2,1100.0,525.0,0.45454545454545453,0.4772727272727273,0.0,1100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,466.0,953.75,562.6875,1.134020618556701,1.0729613733905579,1.1533420707732633,0.8885926913251139,1,-0.399739177824766,Isolation Forest,Clairmont to Edm.  ➔ Edm. to Clairmont 
2022-03-24,Clairmont to Edm. ,Edm. to Clairmont ,748650.0,749750.0,1100.0,1100.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,550.0,provincial_log,2,700.0,550.0,0.5,0.7857142857142857,0.0,1100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,446.0,972.5,559.5625,1.0848126232741617,1.2331838565022422,1.1311053984575836,0.9829107561711158,1,-0.4266205021733071,Isolation Forest,Clairmont to Edm.  ➔ Edm. to Clairmont 
2022-03-25,Clairmont to Edm. ,"Nisku, AB ",749750.0,750450.0,700.0,700.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,550.0,provincial_log,2,900.0,550.0,0.7857142857142857,0.6111111111111112,0.0,700.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,490.0,969.375,548.3125,0.6481481481481481,1.1224489795918366,0.7221147646679562,1.0030776245298074,1,-0.4249630242154307,Isolation Forest,"Clairmont to Edm.  ➔ Nisku, AB "
2022-03-28,"Nisku, AB ","Kamloops, BC ",750450.0,751350.0,900.0,450.0,450.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,550.0,provincial_log,2,1030.0,525.0,0.6111111111111112,0.5097087378640777,0.0,900.0,0.0,0.0,1.0,0.5,1.0,-0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.0,490.0,932.8571428571429,561.6428571428571,0.8737864077669902,1.1224489795918366,0.9647779479326186,0.9792699987282208,1,-0.41592551076869116,Isolation Forest,"Nisku, AB  ➔ Kamloops, BC "
