trip_date,trip_origin,trip_destination,start_odometer,end_odometer,total_km,ab_km,bc_km,mb_km,on_km,sk_km,ab_fuel,bc_fuel,mb_fuel,on_fuel,sk_fuel,matching_invoice_number,invoice_date,invoice_time,invoice_location,total_cost,source_log,total_fuel_litres,fuel_source,fuel_source_reliability,km_per_tank,avg_fuel_per_tank,fuel_litres_per_km,cycle_fuel_per_km,fuel_cost_per_km,provincial_sum_km,km_reconciliation_gap,odometer_gap,cross_border_trip,ab_dist_prop,ab_fuel_prop,ab_dist_fuel_variance,bc_dist_prop,bc_fuel_prop,bc_dist_fuel_variance,mb_dist_prop,mb_fuel_prop,mb_dist_fuel_variance,on_dist_prop,on_fuel_prop,on_dist_fuel_variance,sk_dist_prop,sk_fuel_prop,sk_dist_fuel_variance,weekly_avg_distance_km,weekly_avg_fuel_litres,monthly_avg_distance_km,monthly_avg_fuel_litres,dist_to_weekly_ratio,fuel_to_weekly_ratio,dist_to_monthly_ratio,fuel_to_monthly_ratio,anomaly_source,anomaly_score,Primary Driver,Secondary Driver,Multi-Feature Interaction Spike,Route Context,forest_prediction
2022-05-05,"Nisku, AB ","Dawson Creek, BC ",773800.0,774430.0,630.0,550.0,80.0,0.0,0.0,0.0,690.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,690.0,provincial_log,2,1700.0,645.0,1.0952380952380953,0.37941176470588234,0.0,630.0,0.0,17250.0,1.0,0.873015873015873,1.0,-0.12698412698412698,0.12698412698412698,0.0,0.12698412698412698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.5,669.0,904.6428571428571,556.3928571428571,0.5874125874125874,1.031390134529148,0.6964074220292144,1.2401309455035625,Deterministic,-1.0,Rule-Based Violation,Odometer gap,N/A,"Nisku, AB  ➔ Dawson Creek, BC ",
2022-05-15,"Nisku, AB ","Prince George, BC ",778950.0,779750.0,800.0,450.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,645.0,provincial_log_nearby,1,1700.0,645.0,0.80625,0.37941176470588234,0.0,800.0,0.0,4520.0,1.0,0.5625,0.0,0.5625,0.4375,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.5833333333334,566.5,1.0,1.0,0.914721295855169,1.1385701676963813,Deterministic,-1.0,Rule-Based Violation,Odometer gap,N/A,"Nisku, AB  ➔ Prince George, BC ",
2022-06-04,Nisku to prince george ,"Jasper, AB ",756550.0,757700.0,1150.0,500.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,525.0,provincial_log_nearby,1,1970.0,525.0,0.45652173913043476,0.26649746192893403,0.0,1150.0,0.0,39400.0,1.0,0.43478260869565216,0.0,0.43478260869565216,0.5652173913043478,0.0,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986.6666666666666,486.6666666666667,835.0,565.9166666666666,1.1655405405405406,1.0787671232876712,1.377245508982036,0.9276984243852158,Deterministic,-1.0,Rule-Based Violation,Odometer gap,N/A,"Nisku to prince george  ➔ Jasper, AB ",
2022-06-05,"Fort St. Jhon, BC ","Nisku, AB ",774430.0,775250.0,820.0,600.0,220.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,500.0,provincial_log,2,150.0,440.0,0.6097560975609756,2.933333333333333,0.0,820.0,0.0,16730.0,1.0,0.7317073170731707,1.0,-0.2682926829268293,0.2682926829268293,0.0,0.2682926829268293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.5,496.25,878.3333333333334,552.1666666666666,0.7980535279805353,1.0075566750629723,0.9335863377609108,0.9055236945366738,Deterministic,-1.0,Rule-Based Violation,Odometer gap,N/A,"Fort St. Jhon, BC  ➔ Nisku, AB ",
2022-06-06,Nisku to Spruce Grove ,"Nisku, AB ",788100.0,788250.0,150.0,150.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,380.0,provincial_log,2,850.0,400.0,2.533333333333333,0.47058823529411764,0.0,150.0,0.0,12850.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986.0,497.0,873.8461538461538,548.1538461538462,0.15212981744421908,0.7645875251509054,0.17165492957746478,0.6932360370474319,Deterministic,-1.0,Rule-Based Violation,Odometer gap,N/A,"Nisku to Spruce Grove  ➔ Nisku, AB ",
2022-06-14,"Nisku, AB ","Prince George, BC ",792200.0,793050.0,850.0,500.0,350.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,420.0,provincial_log,2,820.0,531.0,0.49411764705882355,0.6475609756097561,0.0,850.0,0.0,3950.0,1.0,0.5882352941176471,1.0,-0.4117647058823529,0.4117647058823529,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.1428571428571,536.1428571428571,1.0,1.0,1.0338835794960903,0.7833733013589129,Deterministic,-1.0,Rule-Based Violation,Odometer gap,N/A,"Nisku, AB  ➔ Prince George, BC ",
2022-07-02,"Kelowna, BC ","Grande Prairie, AB ",717150.0,718200.0,1050.0,550.0,500.0,0.0,0.0,0.0,550.0,477.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,1027.0,provincial_log,2,1050.0,938.5,0.9780952380952381,0.8938095238095238,0.0,1050.0,0.0,0.0,1.0,0.5238095238095238,0.5355404089581305,-0.011730885148606651,0.47619047619047616,0.4644595910418695,0.011730885148606651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696.0,559.5,776.1111111111111,539.4722222222222,1.5086206896551724,1.8355674709562109,1.3528990694345024,1.9037124761855726,Deterministic,-1.0,Rule-Based Violation,None,N/A,"Kelowna, BC  ➔ Grande Prairie, AB ",
2022-07-03,Nisku to Chetwynd ,"Prince George, BC ",735650.0,736700.0,1050.0,650.0,400.0,0.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,850.0,provincial_log,2,1100.0,770.0,0.8095238095238095,0.7,0.0,1050.0,0.0,17450.0,1.0,0.6190476190476191,1.0,-0.38095238095238093,0.38095238095238093,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.0,637.4166666666666,775.0,565.9722222222222,1.390728476821192,1.33350764805857,1.3548387096774193,1.5018404907975462,Deterministic,-1.0,Rule-Based Violation,Odometer gap,N/A,"Nisku to Chetwynd  ➔ Prince George, BC ",
2022-07-04,nisku to grande prairie ,"Nisku, AB ",757700.0,758800.0,1100.0,1100.0,0.0,0.0,0.0,0.0,690.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,690.0,provincial_log,2,2500.0,670.0,0.6272727272727273,0.268,0.0,1100.0,0.0,21000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.0,687.8333333333334,789.4736842105264,580.921052631579,1.3664596273291925,1.003149987884662,1.3933333333333333,1.1877689694224236,Deterministic,-1.0,Rule-Based Violation,Odometer gap,N/A,"nisku to grande prairie  ➔ Nisku, AB ",
2022-07-06,"Nisku, AB ","Fort St. Jhon, BC ",788250.0,788950.0,700.0,580.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,670.0,provincial_log_nearby,1,2500.0,670.0,0.9571428571428572,0.268,0.0,700.0,0.0,29450.0,1.0,0.8285714285714286,0.0,0.8285714285714286,0.17142857142857143,0.0,0.17142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,773.4,785.0,594.5833333333334,0.78125,0.8663046289113008,0.89171974522293,1.1268395234758233,Deterministic,-1.0,Rule-Based Violation,Odometer gap,N/A,"Nisku, AB  ➔ Fort St. Jhon, BC ",
